author_id,author_name
53f45728dabfaec09f209538,Peijuan Wang
5601754345cedb3395e59457,Jiahua Zhang
53f38438dabfae4b34a08928,Donghui Xie
5601754345cedb3395e5945a,Yanyan Xu
53f43d25dabfaeecd6995149,Yun Xu
53f46797dabfaeb22f542630,Jairo Rocha
54328883dabfaeb4c6a8a699,Theo Pavlidis
53f43b03dabfaedce555bf2a,Min Pan
53f45ee9dabfaee43ecda842,Chris C. N. Chu
53f42e8cdabfaee1c0a4274e,Hai Zhou
53f43d95dabfaedf435b63fa,Maureen Squillace
54484654dabfae87b7dfc077,Jon G. Hall
53f39e3edabfae4b34aa8c4a,Jungil Park
53f46ac3dabfaeee22a63eab,Youngmi Kim Pak
53f44f6adabfaedf435efcb8,James Jungho Pak
53f45ad4dabfaee1c0b3e206,Bonnie Mitchell
53f438d0dabfaeee229c1f1c,Naotaka Tanaka
53f47083dabfaeee22a79321,Mio Yamamoto
560175b545cedb3395e59d80,C. Evans
53f42d84dabfaee1c0a355c4,Damien Perritaz
53f46fa1dabfaec09f263a80,Christophe Salzmann
541023addabfae450f4d5127,Denis Gillet
53f454cddabfaec09f2009b7,Jacques Bapst
54096818dabfae8faa68bc76,Elena Mugellini
54865672dabfae8a11fb31aa,Omar Abou Khaled
53f44a4adabfaedd74dfe5c0," Institute of Animation, Visual Effects and Digital Postproduction"
53f42fd0dabfaedd74d553b0,Ichiro Iwano
53f459b8dabfaeecd69f7b93,Anne Brotot
53f463b3dabfaee4dc8430d5,Annabel Sebag
53f4d04ddabfaeeee2f8199d,Fran̤ois Hennecart
53f431fedabfaee43ec009a6,Bernard Landreau
53f46fe4dabfaeee22a770f3,I. Gusti Putu Purnaba
53f49508dabfaeb4c677b4a4,Hiromasa Habuchi
53f4d429dabfaeedd3781ccf,J.R. Gat
53f459b8dabfaee0d9c00acb,J. Kushnir
54093fbcdabfae450f46f78e,A. Nissenbaum
548a2e3ddabfae9b40134fbc,Harry M. Sneed
53f46a22dabfaee0d9c3d5e5,Shuguo Yang
53f6339bdabfae2722c7163e,Nissim Francez
560175ed45cedb3395e5a3a6,Hostettmann K
53f4395ddabfaee2a1d02a9e,Michael D. Kelly
53f3aaabdabfae4b34af5123,Sean J. Geoghegan
548999a7dabfae9b40134ba3,Paul Beynon-Davies
53f42ce6dabfaec09f10dd58,H. A. Sanjay
53f45018dabfaee43eca4008,S. J. Netravathi
53f454a2dabfaeee22a2db26,M. V. Sowmyashree
53f42cecdabfaeb1a7b84856,R. N. Yogeshwari
560175f845cedb3395e5a54e,John Canny
53f42ef2dabfaee1c0a47ad5,Jeremy Risner
540548eddabfae92b41be5a4,Vivek Subramanian
