id,title,year,type,publication
53e9978ab7602d9701f45b8e,Correspondence,1874,DemoPaper,0
53e9978db7602d9701f4cccd,Miscellany.,1903,DemoPaper,0
53e9978db7602d9701f50657,Incompatibility.,1911,ShortPaper,1
53e9979bb7602d9701f63a92,EDITORIAL ANNOUNCEMENT.,1912,Poster,1
53e99792b7602d9701f59e93,Progress,1916,ShortPaper,1
53e99784b7602d9701f3f60f,FOREWORD.,1917,Poster,1
53e9978ab7602d9701f46887,Correspondence.,1918,Poster,1
53e9978ab7602d9701f4b083,Obituary,1919,ShortPaper,1
53e9979fb7602d9701f6f2d5,Book Reviews:,1919,DemoPaper,0
53e99792b7602d9701f54bcc,SERVICE.,1920,ShortPaper,1
53e9979eb7602d9701f6be82,Editorial Note,1921,Poster,1
53e9978ab7602d9701f4b0ec,Organization.,1922,DemoPaper,0
53e99792b7602d9701f571f3,Reviews,1922,DemoPaper,0
53e99785b7602d9701f445a8,Buchbesprechungen,1924,DemoPaper,0
53e9978db7602d9701f514c4,INTRODUCTION:,1925,FullPaper,1
53e99792b7602d9701f56aaf,Report.,1925,DemoPaper,0
53e9978ab7602d9701f475c4,COMMENT,1926,Poster,1
53e99792b7602d9701f54ffb,Sahara,1926,FullPaper,1
53e9978ab7602d9701f45a8a,CORRESPONDENCE.,1928,Poster,1
53e9978db7602d9701f514c5,Introduction:,1930,FullPaper,1
53e99785b7602d9701f42beb,Editorials,1931,FullPaper,1
53e9978ab7602d9701f45885,COLOR.,1931,Poster,1
53e9978ab7602d9701f4b07c,OBITUARY.,1932,DemoPaper,0
53e9978ab7602d9701f4b096,OBITUARY,1932,Poster,1
53e99785b7602d9701f41e6e,DISCUSSION,1936,FullPaper,1
53e9978ab7602d9701f4735b,Conclusion,1937,ShortPaper,1
53e99792b7602d9701f5881a,PROGRAM.,1937,FullPaper,1
53e9978ab7602d9701f4804d,Arteriosclerosis.,1938,FullPaper,1
53e99792b7602d9701f54ad6,SYMPOSIA.,1938,DemoPaper,0
53e9979fb7602d9701f6f089,Book Review,1938,DemoPaper,0
53e997a6b7602d9701f7b48a,BANQUET ADDRESSES,1939,FullPaper,1
53e9978ab7602d9701f45abd,COPYRIGHT.,1940,FullPaper,1
53e99792b7602d9701f54b53,""" SCIATICA """,1941,FullPaper,1
53e99792b7602d9701f54bba,Sequences,1941,DemoPaper,0
53e99784b7602d9701f3f7f3,Foreword.,1942,ShortPaper,1
53e99785b7602d9701f429d8,Editorial,1945,Poster,1
53e99784b7602d9701f3f62d,Forum.,1946,DemoPaper,0
53e9978db7602d9701f5254a,Valedictory,1946,FullPaper,1
53e99796b7602d9701f5d11a,GUEST EDITORIALS,1946,DemoPaper,0
53e9978ab7602d9701f48483,Astrometry,1947,ShortPaper,1
53e9978ab7602d9701f4a76f,Nachrichten,1947,DemoPaper,0
53e9978db7602d9701f5062e,INTRODUCTION.,1947,FullPaper,1
53e9978db7602d9701f5238a,Vorwort,1947,DemoPaper,0
53e99792b7602d9701f5461c,Standards,1947,Poster,1
53e99785b7602d9701f427e5,Errata,1949,ShortPaper,1
53e9978ab7602d9701f45c6b,Correction.,1949,ShortPaper,1
53e99792b7602d9701f5706b,REVIEWS,1949,FullPaper,1
53e99792b7602d9701f587f8,Preface,1949,ShortPaper,1
53e997a2b7602d9701f777a9,Computational Logic,1949,ShortPaper,1
53e997a6b7602d9701f792c7,Constructible Falsity,1949,Poster,1
53e99785b7602d9701f414fa,DYNAMO.,1950,ShortPaper,1
53e99785b7602d9701f43eef,Bibiliography],1950,FullPaper,1
53e9978ab7602d9701f4a0a0,Newsletter,1950,ShortPaper,1
53e9978db7602d9701f4f4c4,HYPOTHALAMUS.,1951,Poster,1
53e9978eb7602d9701f52d12,TERMINOLOGY.,1951,Poster,1
53e9979fb7602d9701f6ef98,Book reviews,1951,Poster,1
53e9978ab7602d9701f45830,CONSTRUCTION.,1952,ShortPaper,1
53e99792b7602d9701f57f5a,Quickies,1952,DemoPaper,0
53e99792b7602d9701f58aab,Problems,1952,Poster,1
53e99796b7602d9701f5cf9e,Guest editorial,1952,ShortPaper,1
53e9978ab7602d9701f47b49,Conclusions],1953,DemoPaper,0
53e9978ab7602d9701f4a046,Notes.,1953,FullPaper,1
53e9978db7602d9701f4f828,Hearing,1953,Poster,1
53e9978db7602d9701f5099c,Introduction,1953,ShortPaper,1
53e9978db7602d9701f50d6a,Introduction.,1954,DemoPaper,0
53e99792b7602d9701f568a3,Rejoinder,1954,ShortPaper,1
53e997a2b7602d9701f71673,Binary coding,1954,DemoPaper,0
53e9979fb7602d9701f6ef4e,Books received,1955,Poster,1
53e997a2b7602d9701f71bb3,Bird Display,1955,DemoPaper,0
53e9978db7602d9701f4cce7,Mehrplatzarbeit,1956,FullPaper,1
53e9978db7602d9701f5071c,Informationstheorie,1956,Poster,1
53e99785b7602d9701f414b1,Demonstrations.,1957,Poster,1
53e9978eb7602d9701f52ec7,TREMOR.,1957,ShortPaper,1
53e9979eb7602d9701f6ca79,Eulerian Syllogistic,1957,FullPaper,1
53e9979eb7602d9701f6e9f4,BOOK SELECTION.,1957,ShortPaper,1
53e9979fb7602d9701f6f0bf,Book review,1957,DemoPaper,0
53e9979fb7602d9701f6efdf,[Book Reviews],1957,DemoPaper,0
53e99785b7602d9701f43ec2,Bingo,1958,Poster,1
53e9979bb7602d9701f66825,Description Mechanics,1958,ShortPaper,1
53e9978ab7602d9701f4a33b,Nachrichtenverarbeitung,1959,DemoPaper,0
53e9979eb7602d9701f6c464,Esaki tunneling,1959,DemoPaper,0
53e997a2b7602d9701f740a4,Closing Speech,1959,DemoPaper,0
53e997a2b7602d9701f74dc7,Closing remarks,1959,Poster,1
53e997a6b7602d9701f7bc4a,Amphisbaenic Sorting,1959,DemoPaper,0
53e99796b7602d9701f5e8d7,Fibonaccian searching,1960,Poster,1
53e9979eb7602d9701f6e496,Concerning Abstracts,1960,FullPaper,1
53e997a2b7602d9701f74c38,Certification: rootfinder,1960,ShortPaper,1
53e997a2b7602d9701f77b51,Coding isomorphisms,1960,FullPaper,1
53e997a6b7602d9701f796a4,Compiling connectives,1960,ShortPaper,1
53e997a6b7602d9701f7b19d,Binary Arithmetic,1960,FullPaper,1
53e99785b7602d9701f414c5,Doomsday,1961,ShortPaper,1
53e9978ab7602d9701f47303,Comment,1961,DemoPaper,0
53e9978ab7602d9701f4cb6e,Map.,1961,FullPaper,1
53e9978db7602d9701f509e1,Imprinting,1961,FullPaper,1
53e9978eb7602d9701f52d45,Targeteer,1961,FullPaper,1
53e9979bb7602d9701f63b94,Elektronische Auslesespeicher,1961,ShortPaper,1
53e9979bb7602d9701f64c1a,Experimental Design,1961,FullPaper,1
53e9979bb7602d9701f65489,Dynamic declarations,1961,FullPaper,1
53e9979bb7602d9701f66d64,Die Lernmatrix,1961,FullPaper,1
53e9979fb7602d9701f6fa61,Bitwise operations,1961,ShortPaper,1
53e997a2b7602d9701f74184,Complementary series,1961,FullPaper,1
53e997a6b7602d9701f7b552,Automata theory,1961,ShortPaper,1
53e99785b7602d9701f405f6,GELEITWORT,1962,ShortPaper,1
53e99785b7602d9701f4151f,Discussion,1962,FullPaper,1
53e9978ab7602d9701f47e4d,ACKNOWLEDGMENT.,1962,ShortPaper,1
53e9978db7602d9701f4d005,Multiprogramming,1962,Poster,1
53e99792b7602d9701f54466,SIGMAP,1962,DemoPaper,0
