review_id,paper_id,decision,review_text,author_id
H273nzb124sxg,53e9978ab7602d9701f45b8e,rejected,I did not like it,53f55f6ddabfae53def8045b
A366nxt216qsg,53e9978db7602d9701f4cccd,rejected,I did not like it,53f445a3dabfaee0d9bb0103
N092lki197bww,53e9978db7602d9701f50657,accepted,It is well worth reading,53f45f55dabfaee0d9c13d70
A047ana144axc,53e9979bb7602d9701f63a92,accepted,It is well worth reading,53f8078adabfae8faa4d3418
B332vpi579zvy,53e99792b7602d9701f59e93,accepted,I recommend reading it,54869ab9dabfae8a11fb33bb
Y524okz863ojv,53e99784b7602d9701f3f60f,accepted,A brilliantly researched piece of work,53f43144dabfaeb1a7bbc933
C879hcz826ige,53e9978ab7602d9701f46887,accepted,A brilliantly researched piece of work,53f47896dabfaedf4368c40d
H410uwk196xrz,53e9978ab7602d9701f4b083,accepted,I recommend reading it,53f3847edabfae4b34a0a46b
W843afr363npt,53e9979fb7602d9701f6f2d5,rejected,"The topic is dealt with superficially, I was expecting something more",53f4cbfadabfaeebd8f8065c
D093ulw787vqd,53e99792b7602d9701f54bcc,accepted,Perfection,53f4309ddabfaeb1a7bb434b
E126gnk135zec,53e9979eb7602d9701f6be82,accepted,I recommend reading it,53f4336bdabfaee4dc764c1a
L915jkb249khw,53e9978ab7602d9701f4b0ec,rejected,Awful,53f43b0fdabfaee0d9b91e32
X285cnm232llc,53e99792b7602d9701f571f3,rejected,"The topic is dealt with superficially, I was expecting something more",53f456c8dabfaec09f207f35
W721esu378baa,53e99785b7602d9701f445a8,rejected,I did not like it,53f42ee6dabfaeb2acffd7b6
T629iza426pkb,53e9978db7602d9701f514c4,accepted,It is well worth reading,56017be245cedb3395e61a0c
O939psr375ygy,53e99792b7602d9701f56aaf,rejected,Awful,53f443ecdabfaedf435c2f63
M340yfx712aaf,53e9978ab7602d9701f475c4,accepted,Perfection,53f42e5fdabfaec22ba24b23
I939izs007jwe,53e99792b7602d9701f54ffb,accepted,Perfection,53f42bc7dabfaeb22f3ef887
E492ipn209ekn,53e9978ab7602d9701f45a8a,accepted,I was blown away by this paper,54092851dabfae92b425e686
M227wup207spb,53e9978db7602d9701f514c5,accepted,A brilliantly researched piece of work,53f44f0cdabfaee2a1d56ec9
F069mcc515zgy,53e99785b7602d9701f42beb,accepted,I recommend reading it,53f4522adabfaec09f1f6a3f
R685tzf942zfn,53e9978ab7602d9701f45885,accepted,I was blown away by this paper,540588acdabfae8faa5de888
J511ysg402dhh,53e9978ab7602d9701f4b07c,rejected,Awful,53f42c0bdabfaec22ba033f7
J119gwh189mgw,53e9978ab7602d9701f4b096,accepted,I was blown away by this paper,53f439f2dabfaec22baa1bf9
B354icb454jla,53e99785b7602d9701f41e6e,accepted,I was blown away by this paper,543522abdabfaebba58a659b
M709qit342iyd,53e9978ab7602d9701f4735b,accepted,Perfection,53f43777dabfaedce5538e31
K086ple754sxv,53e99792b7602d9701f5881a,accepted,I was blown away by this paper,53f4327ddabfaedce5506881
A594ifv361pku,53e9978ab7602d9701f4804d,accepted,It is well worth reading,54886e9edabfaed7b5fa3838
D501qyx599oyp,53e99792b7602d9701f54ad6,rejected,I do not recommend reading it,53f43244dabfaeb1a7bc96e3
K391mnh398kno,53e9979fb7602d9701f6f089,rejected,It was a waste of time,53f456c8dabfaec09f207f35
N943vgb890ptw,53e997a6b7602d9701f7b48a,accepted,A brilliantly researched piece of work,53f39816dabfae4b34a7fb9a
I735jab081ydn,53e9978ab7602d9701f45abd,accepted,A brilliantly researched piece of work,53f4338edabfaedce55123a1
K246peq179prp,53e99792b7602d9701f54b53,accepted,I recommend reading it,53f45781dabfaedd74e3259b
F981wvm218kxk,53e99792b7602d9701f54bba,rejected,It was a waste of time,54059a38dabfae91d3ff73da
V053red673jsz,53e99784b7602d9701f3f7f3,accepted,I recommend reading it,53f31956dabfae9a8442af32
Q494hox176npu,53e99785b7602d9701f429d8,accepted,A brilliantly researched piece of work,53f4325cdabfaeb22f447702
H421dbz356enw,53e99784b7602d9701f3f62d,rejected,I did not like it,54095e55dabfae450f47bfff
