venue_id,type
539ffcf2831432abcb63c645,journal
53e1824d20f7dfbc07e8bf54,journal
55f8c33fc35f4f6dfd415864,journal
53a7300120f7420be8cd3298,journal
555037237cea80f95417549b,journal
55f8c707c35f4f6dfd415a03,journal
5736b2a5d39c4f40a799f9d4,journal
555036b57cea80f95414abd8,journal
55f8c205c35f4f6dfd4157c1,journal
53a72fc720f7420be8cc3075,journal
53a72b2d20f7420be8c1c5a9,journal
539078f320f770854f5a88f2,journal
5390972320f70186a0df9728,journal
53a7320120f7420be8d7197e,journal
53a7267e20f7420be8b78dc5,journal
5390a71c20f70186a0e88c48,journal
53a731fc20f7420be8d70db7,journal
53e1832920f7dfbc07e8c53a,journal
53a726b420f7420be8b7ec67,journal
53a728d120f7420be8bb9575,journal
53a7314420f7420be8d31c79,journal
53a730ea20f7420be8d13b56,journal
539e7ce88314ff4cf4c670e8,journal
53a72ffa20f7420be8cd0f67,journal
555036c97cea80f954155dd5,journal
53a72fae20f7420be8cbbb17,journal
555036b87cea80f95414c3a9,journal
555036db7cea80f9541603d2,journal
54824ca9582fc50b5e00b6f4,journal
555037d67cea80f95419caa8,journal
555036da7cea80f95415f80e,journal
53e180b820f7dfbc07e8b4ce,journal
53e1825420f7dfbc07e8bf80,journal
53a731d920f7420be8d65d97,journal
55f8c6fac35f4f6dfd415a00,journal
53a72fa520f7420be8cb8c28,journal
55f8c37ec35f4f6dfd41587f,journal
53a72f6620f7420be8ca37e1,journal
53a732bf20f7420be8db2235,journal
5390a17f20f70186a0e53d3d,journal
555036db7cea80f9541603e1,journal
555036d07cea80f954159906,journal
53a72b2c20f7420be8c1c5a1,journal
555036df7cea80f954162774,journal
53a72b3120f7420be8c1d176,journal
53a7325120f7420be8d8e31c,journal
5736ac1cd39c4f40a7954f21,journal
53a731f120f7420be8d6d307,journal
53a7308a20f7420be8cf94f6,journal
555036c77cea80f954155204,journal
555036f57cea80f954169e28,journal
57d088490a3ac5db49917a6a,journal
53a7311020f7420be8d1dfa5,journal
539078f320f770854f5a8951,journal
53a7318e20f7420be8d4ce94,journal
539e77fd8314ff4cf4b57faa,journal
5736af03d39c4f40a79811c6,journal
5482521d582fc50b5e0560ea,journal
539078ee20f770854f5a83f8,journal
53e187ed20f7dfbc07e8e4fe,journal
53a7308720f7420be8cf7d81,journal
555036b87cea80f95414c3bf,journal
53a731b520f7420be8d5a1d2,journal
555037a77cea80f954194996,journal
58801a369ed5db225d59c314,journal
53a7321220f7420be8d7830c,journal
572dd004d39c4f4993448ec7,journal
539078ee20f770854f5a8409,journal
53e1833120f7dfbc07e8c56d,journal
53a7269720f7420be8b7bd03,journal
53a724b320f7420be8b37f4c,journal
53a72ec320f7420be8c99e21,journal
555037c87cea80f9541998b3,journal
53907c1720f770854f5ff327,journal
55f9570ec35f4fb0d21cdae5,journal
53a7319520f7420be8d50933,journal
555036c27cea80f954152292,journal
555036b47cea80f95414abd1,journal
53a7326420f7420be8d9354e,journal
53a7327820f7420be8d99eef,journal
53a7319320f7420be8d4fd78,journal
53e1809120f7dfbc07e8b3f7,journal
555036f67cea80f95416a9f4,journal
53a7294620f7420be8bcebd3,journal
53a727af20f7420be8b97f2c,journal
53a731e220f7420be8d68c8f,journal
53a72a4520f7420be8bf8d9b,journal
57d08c7c0a3ac5db4992dd6c,journal
555037a17cea80f954193c76,journal
5390799420f770854f5c0f06,journal
555036cb7cea80f954157570,journal
539078f320f770854f5a88f3,journal
5390acc420f70186a0eb9ddc,journal
53a72acb20f7420be8c0d904,journal
53a7310b20f7420be8d1c829,journal
53a731c620f7420be8d5ffae,journal
53a72a9120f7420be8c056af,journal
555036be7cea80f95414fef1,journal
5736ae3ad39c4f40a797600f,journal
53e17f6520f7dfbc07e8aca7,journal
53907a7420f770854f5d4ab4,journal
53a72cf320f7420be8c548d8,journal
53a7313c20f7420be8d2e1d4,journal
54825ad4582fc50b5e1557fe,journal
555036e17cea80f954163356,journal
555036ca7cea80f95415699e,journal
555036c67cea80f95415461e,journal
555036f27cea80f95416865a,journal
555037917cea80f95418fdf1,journal
539e72778314ff4cf49b3f5d,journal
555036b67cea80f95414abfd,journal
539078ee20f770854f5a840b,journal
53a72fd220f7420be8cc5f67,journal
539078ef20f770854f5a844a,journal
53e1854520f7dfbc07e8d37b,journal
555036f67cea80f95416aa16,journal
53a72a8520f7420be8c03eea,journal
53a72a9120f7420be8c056af,journal
53a7255b20f7420be8b4c919,journal
555036c47cea80f954153a42,journal
539078f720f770854f5ab2fb,journal
539e7ce68314ff4cf4c670e0,journal
53a7311a20f7420be8d2260b,journal
53a7256c20f7420be8b4f82a,journal
555036c07cea80f95415169d,journal
