author,name
http://sdm_lab/5408aa5bdabfae450f434994,Alexander Meduna
http://sdm_lab/53f44a03dabfaee02ad279cd,Shahriar Pourazin
http://sdm_lab/54084dd6dabfae8faa63edb6,Adam Stone
http://sdm_lab/5409322fdabfae92b42611e0,Gregory B. Newby
http://sdm_lab/53f49ab3dabfaee0d9c7556a,Xian-Sheng Hua
http://sdm_lab/53f43841dabfaec09f18e67c,Davide Sangiorgi
http://sdm_lab/53f44507dabfaeee229f259a,Jia-Jiunn Lo
http://sdm_lab/53f47465dabfaeecd6a428aa,C. Travier
http://sdm_lab/53f464e2dabfaeee22a4e081,I. Chajda
http://sdm_lab/53f471f1dabfaedf4367280c,Hans-GÃ¼nther Kruse
http://sdm_lab/53f45b1adabfaedce55c1d26,Yong Xue
http://sdm_lab/54849f6fdabfaed7b5fa1a42,Kristian Kroschel
http://sdm_lab/53f44769dabfaee1c0af07bd,Henry Munson
http://sdm_lab/53f47e4adabfaee4dc8a8ef5,Sinem Vardarli
http://sdm_lab/53f394f7dabfae4b34a6c549,Floyd Gillis
http://sdm_lab/53f39ba8dabfae4b34a97801,Hiroyuki Hirashima
http://sdm_lab/560175f845cedb3395e5a560,Dirk Fox
http://sdm_lab/53f45651dabfaec09f2064e7,Mohamed Tahar Jarboui
http://sdm_lab/53f4304fdabfaee1c0a59000,Brian Wyvill
http://sdm_lab/548576c6dabfaed7b5fa224d,Jean-Jacques Quisquater
http://sdm_lab/53f4d586dabfaeedd87837e0,Nicolas Leu
http://sdm_lab/53f38a76dabfae4b34a2d053,Carol V. Brown
http://sdm_lab/53f43a14dabfaedce5551059,W. W. Bledsoe
http://sdm_lab/54084bcfdabfae450f4094be,Michel Charpentier
http://sdm_lab/53f43855dabfaee43ec4223b,T Cutts
http://sdm_lab/53f42fe8dabfaeb2ac009b32,Hartmut Pohl
http://sdm_lab/5601798145cedb3395e5eade,IEEE Software Staff
http://sdm_lab/53f42ae2dabfaeb1a7b6a86b,Masud Hasan
http://sdm_lab/53f453dedabfaefedbb47652,J Reiterman
http://sdm_lab/5601768d45cedb3395e5b40a,Andreas Bertsch
http://sdm_lab/53f4520fdabfaee02ad48492,Juan JosÃ© Mena Marcos
http://sdm_lab/53f4374adabfaedf435877f2,Floyd E. Ross
http://sdm_lab/54056561dabfae91d3fddf9c,Martin A. Conway
http://sdm_lab/53f456b4dabfaee4dc812fc4,Julien Dumont
http://sdm_lab/5601776d45cedb3395e5c631,Jan Bosch
http://sdm_lab/53f46524dabfaeb22f53815a,Jimmie Lawson
http://sdm_lab/53f440bfdabfaee0d9ba2480,Gerd WillÃ©e
http://sdm_lab/53f43644dabfaec09f17c683,Ali Shoker
http://sdm_lab/5433c03ddabfaebba5822db9,George Christodoulou
http://sdm_lab/5484548ddabfae9b40132f00,Martin J. Gander
http://sdm_lab/56017dc845cedb3395e641b1,David Luebke
http://sdm_lab/5633a01b45cedb339aae3ff7,Roderic GuigÃ³
http://sdm_lab/54094506dabfae450f47169a,Bart Geurts
http://sdm_lab/53f35a8edabfae4b3496d7b2,Anna Bucalo
http://sdm_lab/53f4dc6cdabfaef7e977bc53,Nancy A. Lynch
http://sdm_lab/5626c06545ce1e5965545dba,Ying Mingsheng
http://sdm_lab/53f449a5dabfaeee22a04565,Sybil Huskey
http://sdm_lab/53f45ee2dabfaee43ecda6c0,Dan Baker
http://sdm_lab/5601798145cedb3395e5ead8,Dirk Fox
http://sdm_lab/53f46382dabfaee02ad88cb3,Roy M. Jenevein
http://sdm_lab/53f42e8edabfaec22ba27069,Albert F. Hartung
http://sdm_lab/54852346dabfae9b401333f6,Deuschl G
http://sdm_lab/53f642d8dabfaed4f00f3ceb,Anna R. Karlin
http://sdm_lab/53f43a5edabfaee4dc7a7dfd,Jakub Steiner
http://sdm_lab/53f45084dabfaeecd69d4b83,E. Boros
http://sdm_lab/53f43720dabfaee02acd05ac,Dirk Herrling
http://sdm_lab/53f43b6fdabfaee02acfc856,Raghvendra Mall
http://sdm_lab/53f47348dabfaeecd6a3e238,Steven Wartik
http://sdm_lab/560187e545cedb3395e6b4de,Daniel Thalmann
